,match_id,duration,radiant_win,radiant_denies,radiant_runes,radiant_cosmetics,radiant_camps_stacked,radiant_last_hits,radiant_consumables,radiant_ability_used,radiant_obs,radiant_portal_used,radiant_fruit_plucked,radiant_lamp_used,radiant_sent,dire_denies,dire_runes,dire_cosmetics,dire_camps_stacked,dire_last_hits,dire_consumables,dire_ability_used,dire_obs,dire_sent,dire_portal_used,dire_fruit_plucked,dire_lamp_used,avg_gold_adv_early,avg_xp_adv_early,radiant_kill_courier,dire_kill_courier,radiant_kill_rs,dire_kill_rs,radiant_aegis,dire_aegis,radiant_chat,dire_chat
5565,7179698015,2151,True,48,26,17,4,1067,37,1753,17,17,11,19,28,30,26,22,12,905,25,586,17,27,4,2,16,-1443.9,-570.0,0,4,2,0,2,0,6,49
5566,7046823779,1978,True,41,21,4,3,787,31,574,17,0,0,0,31,31,25,4,8,831,40,773,15,29,0,0,0,-386.1,142.2,0,0,0,1,0,1,190,23
5567,7101546348,1780,False,26,9,1,3,761,34,696,13,0,0,0,22,42,28,10,7,630,38,682,15,28,0,0,0,-1786.0,-909.9,0,0,0,0,0,0,22,82
5568,7171833711,1490,True,15,18,16,10,769,28,642,12,5,2,10,19,22,19,16,10,786,26,738,11,17,0,7,11,1139.6,672.2,2,1,1,0,1,0,21,8
5569,7228751730,1481,False,17,9,25,3,770,13,794,10,0,2,12,9,24,26,15,3,813,6,404,9,8,0,5,7,-588.1,71.0,0,2,0,0,0,0,5,1
5570,7222198130,2423,False,38,30,8,4,1034,54,975,20,22,11,20,33,47,24,0,8,1222,25,680,19,32,4,4,25,1402.0,1588.4,0,3,1,1,1,1,14,11
5571,7099547508,612,True,50,5,19,2,182,22,167,6,0,0,0,5,13,6,3,0,112,6,90,5,2,0,0,0,992.25,865.0,0,0,0,0,0,0,32,56
5572,7188283383,2333,True,6,26,16,1,682,24,1051,17,0,1,9,20,27,28,23,5,772,25,1238,16,12,0,8,8,-1155.5,-1118.9,3,2,0,0,0,0,27,15
5573,7237173243,1782,False,52,16,13,7,727,49,880,14,9,4,6,24,31,27,12,7,661,25,490,14,23,9,3,17,225.4,1072.6,2,3,1,1,1,1,20,31
5574,7180222463,2554,False,33,21,14,4,1008,33,964,20,5,7,23,33,34,41,22,3,1092,70,867,19,31,8,9,17,-1803.5,-1390.3,0,1,0,2,0,2,3,55
5575,7180058643,1367,True,59,23,20,14,775,31,616,12,1,10,10,19,17,20,7,17,514,35,452,11,20,0,0,6,1913.6,2152.9,1,1,0,0,0,0,6,8
5576,7191429220,1807,True,23,21,17,21,914,35,738,14,2,3,13,24,55,22,10,20,830,25,644,14,22,2,7,7,-582.9,129.8,0,0,1,0,1,0,11,33
5577,7145849004,2698,False,22,28,18,14,954,38,1046,20,19,8,29,29,31,45,21,16,1266,34,1033,22,34,7,11,25,-1117.4,-809.0,1,2,1,1,1,1,76,54
